100 2475
88 29 123
14 23 468
36 49 552
32 34 451
94 96 576
9 16 974
42 23 46
46 28 491
96 93 644
57 17 901
2 71 102
15 77 863
20 81 578
90 85 127
78 19 570
18 45 915
4 75 654
85 29 605
15 23 482
43 45 737
11 52 837
66 30 239
98 56 407
51 35 154
53 89 324
3 76 533
97 60 897
6 15 613
34 38 4
30 80 360
96 40 997
86 64 270
41 91 862
74 43 71
20 71 402
55 7 778
62 78 548
71 1 877
65 99 53
25 8 313
29 55 144
12 79 139
30 24 563
28 8 605
30 99 8
33 58 593
94 62 847
19 81 930
17 43 145
53 37 395
36 46 213
98 6 534
48 91 122
59 9 281
51 57 53
45 66 547
26 23 604
43 6 455
99 6 227
61 65 978
54 15 49
21 31 486
11 14 222
12 40 329
79 23 419
97 26 665
8 69 159
84 85 495
22 86 302
86 24 509
85 88 356
28 69 631
45 65 351
79 35 906
28 17 829
11 95 515
30 19 6
98 9 94
45 96 502
2 38 75
32 72 529
60 53 860
37 95 918
0 38 78
96 67 259
76 52 144
45 82 663
35 27 263
95 85 580
12 59 470
95 93 982
93 95 907
79 87 578
89 91 363
69 80 900
79 33 49
28 60 641
95 90 403
12 44 238
77 22 419
64 24 919
72 19 629
15 95 746
55 51 68
86 4 594
48 25 235
33 4 843
11 53 913
26 40 540
28 96 830
32 11 102
68 67 805
37 44 271
58 28 569
71 10 957
10 94 543
3 48 830
5 9 659
57 72 395
81 62 550
17 75 508
54 29 107
18 44 129
67 35 696
53 57 217
91 44 647
18 92 48
33 35 359
3 27 377
27 28 269
29 7 711
30 90 388
26 72 486
82 72 213
63 91 824
59 13 496
18 23 897
45 76 758
69 8 133
45 56 376
68 74 660
92 19 984
82 44 648
35 9 520
75 91 763
11 34 457
77 51 114
23 96 435
89 86 964
58 73 411
62 27 452
96 23 297
70 39 876
89 53 797
44 54 60
50 84 201
96 4 668
12 89 49
71 26 953
69 69 825
76 43 99
62 4 614
39 92 3
5 48 804
47 97 941
92 93 918
4 63 620
78 23 819
3 41 211
51 24 634
3 33 883
64 34 270
11 64 189
54 28 956
92 38 179
78 28 260
84 12 93
58 42 757
72 50 454
39 50 280
82 2 869
79 42 200
1 74 767
79 14 262
24 73 868
81 45 269
1 93 984
46 25 999
32 42 644
25 7 890
72 53 872
35 30 960
10 16 743
80 6 855
65 45 657
72 84 553
42 40 226
41 42 920
79 67 440
39 46 956
51 50 418
18 72 928
19 40 398
24 30 684
50 38 30
42 33 595
89 62 703
22 75 705
19 96 277
88 5 68
27 19 464
27 94 864
87 44 761
4 28 272
14 4 246
14 19 687
6 52 291
9 67 619
31 34 764
64 60 528
30 93 704
9 86 777
32 64 332
4 92 613
27 43 404
73 51 239
20 25 569
35 80 549
1 70 902
67 34 306
27 25 324
19 2 630
40 59 788
14 78 999
54 87 565
53 76 35
59 69 96
40 25 197
66 98 732
13 98 175
64 19 490
66 11 55
23 85 985
25 38 226
10 21 471
96 29 558
8 41 64
74 98 610
68 50 186
58 77 238
93 91 848
79 28 646
28 1 418
95 76 231
28 22 829
95 20 342
39 47 108
12 13 615
27 3 524
32 10 495
87 76 1
60 91 381
85 42 814
16 66 270
29 22 826
46 94 808
24 89 929
44 39 761
45 72 147
63 65 41
51 18 515
18 26 398
59 43 373
98 54 750
28 30 743
44 24 966
4 66 841
16 81 504
52 80 365
82 4 553
49 38 985
32 67 119
29 3 340
7 60 71
75 2 968
78 74 291
99 46 595
52 98 813
12 42 573
47 59 662
27 17 657
77 29 119
4 82 171
81 21 664
93 51 424
49 18 413
6 2 428
72 66 147
60 1 848
64 69 24
28 79 486
24 16 856
99 47 35
54 20 510
68 28 727
40 81 480
57 4 284
93 52 939
58 49 21
52 72 471
17 5 798
50 99 370
19 34 816
39 1 389
95 78 161
97 33 13
60 40 779
51 4 142
90 79 135
4 60 97
39 54 448
68 7 125
44 25 992
13 1 173
96 33 371
82 33 660
86 55 170
54 88 307
83 78 954
26 13 639
75 31 108
81 79 311
32 84 731
91 93 353
35 89 780
59 80 287
80 13 277
26 37 174
39 7 576
90 52 259
70 86 244
88 56 802
40 39 746
43 13 863
97 65 503
34 22 937
96 78 654
68 4 167
77 80 123
66 88 952
37 34 920
98 55 674
4 16 541
80 18 883
49 55 905
93 60 897
83 4 571
7 35 321
33 77 802
24 17 768
60 24 923
85 89 508
68 97 77
31 62 365
25 89 272
0 59 925
14 32 743
27 97 145
37 93 682
98 72 359
89 41 169
18 54 597
14 43 749
99 8 826
88 88 97
12 9 703
99 58 261
23 8 18
20 11 980
44 6 556
32 17 816
3 5 640
15 48 926
2 35 663
15 98 355
35 47 345
94 99 125
68 22 91
21 53 817
99 79 510
33 95 346
2 86 325
65 18 553
5 46 43
84 31 241
59 52 188
79 31 350
11 55 947
25 69 115
2 30 677
44 15 293
78 53 628
68 53 505
98 29 881
1 71 162
27 46 14
94 7 707
93 25 970
61 46 771
12 29 257
70 78 954
86 63 462
68 58 985
70 2 271
25 85 98
72 39 826
1 21 324
92 31 55
52 84 267
62 20 347
46 0 470
95 52 147
22 58 257
53 79 376
78 95 682
89 83 132
51 47 210
41 65 571
42 30 981
80 84 476
87 71 360
46 79 809
26 70 853
32 78 172
87 31 840
89 72 63
50 75 809
2 65 359
58 79 705
10 97 384
80 98 873
62 53 38
99 16 744
21 66 188
32 40 536
70 15 660
6 1 419
17 6 866
52 6 806
57 33 852
75 63 68
67 42 209
30 28 434
59 90 529
98 16 568
91 94 194
7 97 151
15 31 262
44 72 712
23 48 98
3 54 957
22 69 320
89 14 447
81 4 951
1 83 339
73 82 784
7 10 388
51 97 584
91 71 636
21 77 300
79 10 187
40 27 73
6 70 103
73 98 416
74 84 638
49 83 294
54 98 451
36 58 840
58 78 841
28 58 823
46 92 90
80 54 177
62 71 614
12 58 549
22 68 156
83 84 704
91 22 974
90 36 532
84 20 192
41 27 986
92 7 361
91 35 73
88 31 454
18 28 966
47 48 543
43 83 613
43 67 119
88 6 551
36 86 879
48 17 746
91 72 897
40 42 494
54 97 519
14 99 805
16 88 157
92 71 975
12 85 277
6 50 364
97 66 259
24 25 522
87 65 517
22 10 681
53 46 392
58 1 69
98 31 115
96 75 263
76 30 166
55 17 935
97 89 443
70 7 940
30 51 732
4 18 688
66 31 823
32 22 360
34 87 887
8 18 118
12 35 624
54 44 717
82 18 257
15 24 930
97 19 0
13 18 270
58 74 392
78 31 509
78 10 39
81 48 524
42 16 658
77 93 900
81 92 188
97 62 310
69 57 567
26 49 403
87 35 406
98 28 296
67 61 624
95 97 401
14 89 435
87 95 504
53 0 534
91 17 167
81 17 216
9 94 684
55 98 861
48 35 119
59 97 721
3 14 615
18 9 985
60 17 466
0 3 331
60 31 53
76 47 977
96 28 209
99 15 488
85 31 972
40 95 931
81 94 200
48 47 50
76 77 46
77 70 696
98 24 975
28 77 483
97 64 996
14 18 993
22 67 395
94 35 436
44 95 933
70 40 857
79 43 108
59 26 717
26 71 214
58 45 877
98 91 328
71 46 963
69 74 899
97 23 129
68 59 559
42 68 960
62 88 982
90 59 556
69 45 375
61 14 111
57 36 359
35 43 734
24 11 739
97 90 502
68 27 925
29 10 936
23 20 568
23 47 664
91 79 59
35 93 749
36 20 48
82 98 467
19 33 78
20 50 999
55 96 89
5 53 504
64 82 494
40 23 92
37 32 727
97 13 65
84 30 826
65 33 123
85 9 793
58 56 398
33 46 897
14 34 481
66 24 193
72 1 635
7 62 861
8 45 952
97 96 200
40 78 844
95 94 474
65 69 73
67 70 9
28 41 250
7 15 455
21 13 377
73 13 364
64 4 426
98 47 964
54 59 994
83 10 565
90 28 723
41 9 772
51 12 595
99 83 61
84 72 544
23 84 60
40 15 258
79 75 394
71 47 399
10 92 565
28 16 511
16 47 922
2 20 201
70 13 861
60 82 789
56 14 501
84 76 426
6 16 749
70 92 69
26 93 739
20 6 986
44 83 414
93 68 74
5 12 266
47 85 132
49 15 684
20 76 996
95 69 789
62 7 151
30 77 263
96 82 534
74 28 809
80 3 491
18 37 551
39 90 795
52 27 105
94 64 695
96 81 583
94 36 513
55 59 308
45 16 760
14 15 213
2 16 595
55 36 756
29 60 323
3 31 617
73 48 156
31 80 794
99 90 597
94 33 92
82 8 114
37 40 240
11 50 890
27 72 371
3 42 905
29 65 663
23 5 597
74 4 754
38 79 618
49 98 490
42 86 392
34 28 869
15 34 171
63 72 890
98 66 132
35 51 373
96 11 768
11 46 226
95 57 594
51 26 424
14 55 105
98 53 269
29 1 842
50 98 276
54 65 933
22 55 319
97 97 148
72 54 164
87 23 544
31 3 753
53 77 605
75 80 667
23 10 608
42 77 704
57 51 947
21 50 105
71 87 966
45 11 416
39 62 284
3 89 835
96 89 610
18 61 868
96 45 435
78 51 103
22 24 95
4 52 288
34 15 125
18 76 760
39 34 385
63 31 347
17 60 387
9 34 813
72 95 52
15 32 143
48 58 392
37 79 281
90 50 934
68 24 850
