100 2475
27 35 387
4 78 767
30 41 687
27 58 279
61 67 834
9 18 665
2 60 188
42 65 510
79 33 32
46 74 993
78 76 880
82 87 572
59 57 893
19 39 125
66 61 630
19 53 597
56 69 82
32 69 984
23 77 684
49 20 742
54 8 694
23 12 567
91 1 186
20 3 575
6 35 178
63 12 86
70 62 524
48 74 568
91 69 439
12 45 939
94 74 562
28 37 285
86 39 962
45 71 35
42 77 933
0 67 28
85 50 502
40 55 147
55 96 932
45 62 526
46 15 659
0 35 841
6 28 8
80 6 828
29 98 172
0 74 147
89 48 324
58 56 219
80 35 591
14 92 559
52 66 560
72 93 226
82 88 416
89 42 677
15 0 855
58 26 691
72 51 647
68 31 674
86 53 302
37 31 984
3 10 651
71 16 78
48 14 616
96 5 496
29 54 293
15 66 200
27 54 192
70 76 385
65 81 90
28 93 911
60 38 422
93 24 191
27 60 931
6 59 275
55 95 733
26 59 678
46 43 783
62 60 509
1 99 188
26 52 820
72 68 99
49 48 836
76 26 747
27 33 682
68 73 384
58 13 714
42 59 944
86 61 108
27 59 93
67 97 398
90 0 10
21 7 958
54 10 78
45 37 922
36 0 101
36 66 137
4 77 757
50 23 846
80 7 71
13 27 910
46 63 615
63 53 550
72 5 890
56 89 738
83 31 825
62 38 258
36 53 618
43 6 74
93 57 588
35 72 436
66 81 584
45 30 888
60 62 679
29 37 503
79 47 952
80 23 646
63 91 500
64 48 725
46 40 367
45 17 762
96 80 341
2 75 97
66 54 385
96 49 338
16 42 160
35 69 70
89 36 978
65 59 481
19 88 656
61 61 999
43 88 66
77 41 883
52 25 405
95 13 104
44 37 534
13 4 269
28 13 318
81 54 44
10 92 804
59 44 224
0 32 301
84 16 368
17 51 143
93 72 551
29 95 867
22 57 79
29 56 692
30 87 982
23 32 517
9 82 511
92 91 612
31 70 693
56 17 679
87 11 212
84 11 746
23 99 460
6 51 576
33 67 35
40 72 246
18 97 513
70 68 758
41 54 673
77 89 490
15 20 912
11 54 331
1 35 828
60 95 60
72 82 66
72 28 776
18 44 25
85 94 93
6 27 128
70 75 408
29 30 960
18 38 698
1 39 809
53 68 359
76 20 149
8 69 377
78 1 506
15 73 427
83 50 783
83 36 597
22 88 653
9 8 91
87 21 782
90 93 69
33 7 988
74 83 856
91 73 848
84 20 873
19 42 319
45 4 457
58 90 20
21 16 310
10 68 93
92 64 347
25 78 659
3 83 140
22 77 47
45 90 263
75 70 354
84 62 869
17 30 578
7 64 405
57 95 316
32 30 584
18 19 838
69 3 314
78 13 432
51 68 766
31 89 594
81 92 606
74 93 238
53 74 516
52 98 730
85 36 489
6 79 912
20 22 450
30 74 75
53 40 838
60 23 222
18 3 563
45 78 629
93 14 375
92 47 793
68 9 382
91 33 82
37 18 179
99 47 516
25 60 948
74 43 6
37 40 773
30 95 855
15 8 402
95 31 855
31 4 942
14 82 989
20 86 641
78 25 222
66 96 517
1 12 409
72 9 507
29 28 646
64 45 438
32 81 20
66 59 528
44 44 956
67 16 408
32 57 73
87 45 802
51 33 895
12 5 603
50 62 548
2 22 525
59 85 346
12 49 762
35 5 40
89 75 610
13 68 255
32 34 868
87 94 304
39 73 166
92 30 678
95 53 456
8 95 111
36 80 318
80 87 29
62 30 906
6 82 283
77 71 445
7 56 185
58 58 985
93 1 463
68 76 833
84 64 318
52 31 850
0 3 488
55 74 834
34 25 235
94 55 154
24 38 266
86 77 228
39 8 882
93 87 615
99 17 971
99 24 702
41 77 782
64 80 96
58 2 408
73 37 91
8 25 548
67 18 534
12 26 374
61 19 209
24 37 902
86 6 698
45 73 611
80 42 360
49 58 430
0 33 496
38 92 645
28 99 77
13 17 592
19 99 123
78 96 43
18 80 631
45 82 290
9 94 851
49 35 219
15 32 297
87 2 880
68 74 885
60 88 395
34 61 880
70 36 794
14 50 113
72 33 851
98 91 543
96 54 352
67 59 17
75 80 913
23 24 736
8 64 921
72 76 304
63 80 991
71 25 230
75 88 464
40 93 969
53 3 370
6 58 161
49 40 176
13 59 457
38 35 812
1 64 816
59 69 177
75 59 38
60 89 428
51 51 141
63 87 571
68 78 761
48 29 236
12 60 357
78 38 841
76 12 994
90 53 659
55 35 335
61 88 881
34 84 347
33 42 995
26 18 231
78 94 650
27 92 95
12 1 333
60 22 346
18 70 591
22 95 388
52 71 938
79 99 116
68 42 251
76 32 277
23 73 541
12 74 935
60 92 181
81 37 381
66 65 432
19 4 983
25 80 157
16 65 297
23 58 731
78 19 724
26 66 351
39 70 444
57 46 316
71 39 886
43 30 479
34 2 497
79 64 90
96 92 984
27 12 645
16 92 947
69 6 891
40 85 150
98 52 443
11 12 592
74 76 881
52 95 840
41 97 564
28 94 72
23 85 448
32 49 27
12 81 327
66 39 488
61 45 803
86 70 788
39 36 307
57 87 635
9 77 135
70 72 864
47 44 549
16 47 323
90 92 896
24 42 91
23 37 919
71 23 540
0 41 378
87 28 261
67 86 563
42 78 641
2 25 89
14 40 107
56 34 920
34 0 786
66 80 549
63 74 260
81 48 835
6 1 398
76 17 768
82 14 490
21 26 874
12 56 653
12 70 201
4 3 323
2 17 396
78 39 929
45 99 973
93 33 944
37 43 284
31 45 901
49 93 236
80 57 253
82 61 79
13 65 773
70 95 466
64 38 74
17 85 52
56 72 536
60 90 863
53 35 897
89 6 499
32 9 68
81 9 120
84 96 872
41 45 489
35 6 352
2 36 118
48 39 954
45 26 874
94 23 399
48 46 568
51 96 688
71 14 39
1 50 275
82 94 324
72 40 637
22 83 338
68 99 87
36 25 699
85 13 978
82 78 559
40 19 633
60 32 29
66 23 678
1 9 117
62 70 463
43 42 818
91 81 161
36 32 548
59 8 697
18 29 890
28 31 643
33 61 569
20 72 880
78 33 711
31 51 800
5 33 464
39 41 605
18 76 41
19 98 127
89 2 480
78 31 108
24 68 225
6 72 483
70 19 909
95 17 89
30 35 466
11 24 336
72 79 601
84 90 147
38 70 924
25 90 586
34 74 604
57 89 136
83 58 795
19 96 401
68 5 670
47 68 905
5 74 927
45 80 889
49 96 1
82 41 368
15 85 796
2 77 849
48 33 228
50 80 342
7 69 292
95 20 763
48 47 444
74 90 889
82 36 900
27 19 179
2 92 518
18 84 36
25 44 748
80 75 970
6 53 50
70 44 97
76 83 418
93 68 292
9 66 882
62 13 453
66 20 961
94 80 352
94 70 915
28 95 490
81 42 725
88 39 192
63 59 617
8 31 539
95 90 66
45 94 218
91 93 258
75 53 434
17 73 133
63 76 373
29 41 340
54 64 646
86 94 290
63 55 751
3 14 359
40 28 555
58 5 31
56 74 478
90 33 186
34 88 785
11 7 441
52 86 669
0 75 592
10 62 73
36 26 725
60 25 578
8 50 979
67 88 277
14 63 721
55 19 445
62 99 780
11 31 87
84 25 764
60 82 555
55 71 552
41 10 964
31 56 642
31 88 458
34 38 958
20 33 562
56 82 900
36 11 575
96 20 640
57 92 911
15 33 799
39 14 414
36 86 856
49 14 36
37 68 451
