100 2475
89 9 907
96 98 579
38 15 629
50 87 742
65 0 125
36 24 238
85 42 629
55 56 644
38 56 32
37 20 180
53 1 97
10 65 220
62 98 317
71 61 471
68 29 680
84 68 978
63 0 549
84 43 351
26 72 447
79 24 35
58 46 320
57 19 120
88 51 463
57 81 162
78 37 131
3 79 526
9 0 661
40 13 373
13 8 793
65 11 766
70 16 379
99 6 603
35 32 621
77 31 855
0 96 924
32 95 649
12 12 343
56 94 152
13 32 853
43 23 981
48 23 924
70 43 258
8 25 642
3 8 114
44 81 162
45 91 785
22 99 870
67 87 108
35 51 3
66 62 415
89 95 479
92 64 405
41 35 609
98 39 392
23 86 664
88 17 873
75 51 427
19 37 541
73 15 32
9 75 511
48 86 199
50 58 179
57 18 603
86 57 289
43 33 488
78 53 964
56 90 207
46 30 741
53 51 209
29 3 864
49 64 841
8 38 396
85 11 242
42 34 467
19 45 240
42 40 650
22 22 330
40 85 346
34 86 234
65 12 503
44 0 893
65 10 219
49 46 429
20 63 741
6 58 927
6 97 722
77 85 272
0 0 674
71 24 418
41 38 539
73 60 491
51 77 40
83 5 724
39 29 980
60 88 28
53 90 75
68 20 371
36 19 857
10 97 411
7 73 994
81 34 645
21 97 741
92 10 816
37 81 809
18 41 11
25 43 607
38 50 458
54 81 934
77 99 461
22 13 244
59 65 187
74 24 386
99 73 827
21 46 603
59 30 762
96 35 466
90 76 130
39 31 254
90 58 928
92 99 894
3 59 254
66 2 359
24 59 519
27 50 665
95 88 327
81 72 24
92 43 407
53 65 513
31 2 159
28 59 31
66 36 226
68 36 49
3 37 209
54 69 473
21 21 530
6 73 957
50 7 45
3 62 790
44 22 386
36 42 269
79 25 907
16 59 333
0 32 514
77 15 941
39 27 206
46 71 185
2 36 854
87 43 508
12 95 251
51 98 60
78 43 800
13 67 211
5 80 112
31 32 386
71 50 739
33 89 592
79 10 682
74 7 864
80 55 555
93 13 811
94 58 994
68 7 990
52 6 20
40 63 121
19 94 871
74 0 978
61 73 105
37 92 998
53 10 881
0 31 135
79 63 789
15 7 768
18 73 892
3 14 862
38 31 830
70 85 401
77 4 452
28 47 195
24 9 832
22 38 532
45 20 192
49 19 907
4 88 958
59 21 963
23 50 729
11 21 12
87 20 832
28 0 0
19 33 564
16 93 676
94 64 354
63 74 530
20 6 581
18 23 622
27 34 145
40 54 90
78 86 6
84 3 642
80 41 258
35 98 143
40 70 384
44 54 380
77 38 422
84 81 973
38 80 745
21 83 471
33 61 816
34 46 885
60 87 246
95 17 875
27 11 504
1 67 937
16 72 266
96 5 956
45 21 773
41 46 70
33 41 791
57 74 12
2 98 622
5 41 102
84 66 924
53 62 868
48 53 49
31 17 349
42 55 344
72 16 822
44 48 400
47 20 876
15 81 94
12 91 471
58 59 776
87 87 789
54 91 672
75 6 267
3 52 714
3 74 702
98 82 272
0 63 264
20 80 519
97 37 633
72 95 60
83 49 543
12 44 431
51 30 163
37 2 194
86 63 367
86 4 675
55 37 338
49 70 84
27 68 636
12 39 916
55 27 548
28 87 356
31 24 8
67 7 722
18 12 69
62 77 35
72 13 32
83 54 801
74 19 136
54 58 559
9 68 170
86 20 40
95 76 922
79 40 355
69 65 621
48 82 84
95 15 507
82 43 618
27 4 808
85 77 284
2 59 238
69 49 623
0 98 527
75 66 317
1 85 546
8 72 798
62 29 156
89 45 233
46 95 929
57 14 111
20 90 514
75 25 739
3 23 793
62 44 91
44 61 591
59 60 285
92 36 841
19 79 127
65 62 538
52 12 581
64 59 725
39 18 465
17 52 370
70 55 501
43 89 109
68 96 368
15 70 577
66 82 162
48 83 675
90 22 336
77 56 297
50 38 591
10 85 947
8 24 453
99 33 5
72 82 154
78 31 535
82 49 615
96 54 802
98 59 310
38 73 354
77 0 167
75 86 519
73 16 794
72 1 493
11 8 1
50 86 42
4 17 482
4 50 473
89 96 650
35 28 637
91 48 652
94 42 308
31 55 748
35 46 401
88 9 973
0 62 110
76 20 134
3 69 513
7 98 28
56 73 766
79 73 920
52 31 385
24 89 215
29 35 592
48 30 96
66 80 464
86 6 844
75 26 705
98 42 54
16 98 483
67 14 907
74 58 550
31 42 342
6 34 371
52 87 538
15 41 41
61 23 902
96 32 713
61 43 887
86 94 821
85 35 662
10 4 473
63 87 445
8 49 748
13 34 288
55 97 517
33 77 568
82 63 966
95 26 871
34 91 955
44 55 211
68 27 772
23 27 436
79 74 121
87 10 765
50 69 125
89 28 582
2 20 399
99 59 510
83 36 440
48 95 394
6 93 765
26 5 783
79 47 268
49 17 211
0 19 798
86 49 874
88 71 332
43 47 715
18 56 420
40 83 911
56 38 702
22 11 473
94 10 198
61 72 537
45 65 413
54 25 301
22 9 367
45 77 536
20 44 140
54 55 50
49 35 672
85 83 991
75 71 726
17 77 427
38 91 785
3 28 984
77 6 387
28 66 505
12 64 923
49 89 254
27 15 629
44 3 90
10 12 681
53 36 603
57 85 148
26 29 910
17 57 143
44 1 155
10 82 534
46 72 998
44 32 835
87 82 328
44 14 211
16 44 189
27 64 811
42 49 255
46 24 407
41 21 483
74 33 831
35 85 650
95 51 985
84 33 935
62 96 512
94 69 559
26 22 163
74 94 540
37 39 280
8 87 145
3 83 34
4 90 479
74 37 156
73 99 860
31 84 591
51 57 8
61 56 655
2 11 326
63 77 183
95 6 63
93 25 528
21 67 716
33 21 784
44 71 24
58 94 398
99 9 979
94 0 100
60 65 401
25 96 90
19 34 144
50 43 571
18 5 98
72 0 181
69 10 592
70 29 131
21 35 46
63 59 99
99 46 860
44 60 819
64 7 833
72 41 512
89 90 887
64 63 912
89 43 378
42 48 530
35 97 98
82 26 455
89 74 883
49 68 574
73 54 281
69 37 251
27 20 854
36 14 79
11 92 806
75 87 417
31 27 633
36 30 172
15 6 767
71 77 242
40 31 29
12 33 889
39 24 195
30 85 16
77 52 355
4 16 384
49 75 802
90 67 172
1 26 695
14 84 905
55 1 517
7 12 934
38 41 1
63 78 471
39 33 915
79 98 919
91 77 329
75 27 556
58 48 949
0 23 779
60 93 859
87 57 488
76 8 92
28 94 819
94 1 955
98 63 77
64 93 193
17 29 345
23 57 146
46 33 150
21 75 964
18 99 396
55 48 712
52 8 841
41 85 81
21 70 822
35 62 332
79 67 338
24 26 856
82 6 515
33 49 450
85 10 409
79 32 139
35 31 253
73 51 380
90 24 150
34 11 68
85 76 606
59 49 556
8 75 755
32 56 80
74 52 165
90 17 256
84 58 139
33 52 518
76 0 772
72 15 598
68 24 506
97 61 324
78 26 144
50 92 449
76 30 788
79 58 908
64 31 370
66 56 884
49 36 657
56 21 994
60 29 574
59 27 55
63 63 633
58 97 161
91 24 457
28 4 671
87 72 940
51 3 781
41 40 23
60 57 18
53 3 469
58 38 716
65 16 877
9 95 699
83 56 496
67 68 368
56 14 412
90 91 498
30 79 200
14 3 848
96 36 48
6 28 735
8 34 733
86 40 864
36 32 199
34 67 376
74 20 934
63 43 301
49 59 165
75 93 536
83 88 827
17 7 37
83 42 823
69 67 418
14 58 486
22 18 957
41 71 877
67 44 206
4 32 602
43 60 716
41 91 693
79 68 763
80 39 972
75 53 824
88 10 293
23 44 30
83 22 457
76 98 216
29 77 361
25 44 417
83 9 503
61 94 273
89 97 6
79 77 414
59 32 136
67 65 692
39 64 325
15 20 165
45 35 131
91 67 911
32 34 364
85 7 612
39 87 685
12 74 66
21 96 625
74 8 423
14 92 113
2 30 317
75 35 311
32 69 232
28 16 811
23 74 664
78 83 750
62 24 943
56 45 202
92 88 962
70 45 461
59 94 773
96 4 558
63 69 398
78 65 819
9 67 21
17 54 808
99 22 978
71 20 358
43 46 404
66 50 401
71 11 905
0 70 611
19 25 930
51 28 389
28 48 339
54 15 903
5 6 152
43 83 809
25 21 619
11 9 308
1 70 548
1 92 121
92 25 377
13 25 648
77 54 643
59 31 527
86 95 328
33 71 650
66 72 990
83 40 328
94 46 530
6 71 646
8 32 944
86 90 337
59 7 442
51 51 330
49 27 190
34 7 106
27 58 586
4 26 401
87 6 495
15 52 297
28 9 278
63 51 416
92 2 422
45 70 570
81 78 17
70 23 606
10 53 685
97 93 157
71 32 445
48 56 169
94 31 611
6 50 48
33 45 640
65 28 895
94 47 897
69 24 557
25 95 861
49 7 817
94 32 745
31 34 983
49 40 527
12 35 998
98 66 351
89 89 872
26 69 861
63 24 175
66 25 212
25 42 246
63 81 250
71 55 86
2 19 273
0 77 368
24 66 572
71 80 532
33 83 336
36 8 771
40 27 976
85 34 418
80 18 225
39 26 929
24 96 747
64 94 471
58 54 603
80 17 124
45 7 211
48 73 180
41 80 936
38 99 718
93 72 862
71 48 716
7 50 222
18 39 956
29 42 250
86 44 255
94 93 522
85 79 789
18 81 79
26 93 137
6 26 784
6 15 541
61 50 954
34 72 717
48 34 112
19 18 470
76 47 763
0 21 791
95 33 474
26 71 16
67 36 80
55 2 402
63 99 653
55 51 175
54 2 243
57 4 751
7 55 156
37 44 742
24 48 721
37 60 983
80 88 34
54 61 138
35 44 684
39 88 546
47 11 542
94 72 970
90 51 363
69 45 273
31 72 850
26 65 22
52 65 271
89 58 272
96 96 240
48 61 765
90 46 49
38 96 487
58 93 110
50 94 770
96 50 42
60 17 226
17 36 811
5 11 256
39 46 27
79 1 207
16 15 33
64 88 949
90 66 797
21 33 48
52 42 310
76 37 990
77 9 939
14 29 673
47 75 181
13 9 257
94 11 590
28 46 940
16 73 2
57 84 208
63 58 361
92 56 26
82 71 909
4 14 283
40 6 294
96 38 68
20 18 789
49 41 318
34 33 184
74 98 403
67 13 921
40 12 981
23 77 282
56 96 908
23 88 195
56 75 837
44 47 110
45 73 904
58 56 758
29 98 157
92 48 258
16 69 370
50 97 745
89 72 883
26 60 696
15 63 201
8 53 163
83 45 827
41 93 597
10 32 104
66 42 536
5 83 245
94 30 572
29 82 380
49 60 837
20 84 134
22 63 219
90 69 54
47 60 816
64 97 298
81 96 374
55 90 665
43 27 995
13 90 895
91 4 106
63 54 109
94 95 418
83 46 333
14 72 692
86 25 613
81 9 706
88 61 245
79 30 458
71 41 461
47 24 781
92 60 599
1 3 425
25 59 944
69 53 555
9 74 912
7 44 633
27 24 448
99 4 722
21 12 586
33 12 157
72 21 782
14 99 560
12 83 910
97 91 871
48 27 957
0 18 880
69 97 495
71 30 468
4 37 754
95 75 499
28 65 312
62 57 51
51 63 374
24 32 840
49 74 713
92 72 731
86 27 878
18 20 319
20 99 206
37 90 140
10 98 338
10 59 914
93 74 776
11 67 622
76 10 324
41 73 188
37 4 351
17 86 145
80 86 348
9 3 310
81 4 199
17 69 108
30 36 337
89 22 496
29 25 258
31 56 986
77 58 313
87 48 644
0 14 862
51 83 377
62 68 341
66 9 161
95 79 880
61 91 172
24 58 214
35 23 69
44 45 409
36 60 19
76 34 828
96 76 291
73 2 343
4 87 801
92 69 984
24 15 512
88 33 215
12 97 150
83 48 191
1 90 152
28 49 297
27 53 493
76 45 218
40 58 926
49 8 444
89 52 784
58 89 964
56 54 619
28 45 907
46 17 515
86 26 323
5 99 414
50 51 47
14 55 382
52 61 682
36 81 732
21 6 791
72 84 670
51 59 413
63 96 49
43 31 245
44 59 181
37 97 246
19 42 576
75 42 506
89 81 384
74 72 120
59 15 351
65 48 876
99 24 170
43 82 977
96 69 94
79 94 982
53 55 22
48 44 444
90 28 601
81 51 145
39 28 74
30 68 7
5 43 395
35 59 593
27 76 394
15 8 226
1 8 437
69 77 394
0 22 826
47 4 385
22 97 454
58 15 12
75 84 264
4 60 724
99 39 365
82 92 508
29 0 441
1 44 732
92 51 917
58 26 621
56 16 50
11 76 736
9 43 615
37 48 951
54 76 209
3 53 0
46 5 150
29 39 414
38 71 292
99 54 914
9 29 775
93 28 517
33 93 770
63 91 394
23 34 79
56 78 132
22 28 776
67 50 999
43 67 832
62 99 103
89 6 886
99 90 715
10 47 662
67 80 128
13 54 355
46 59 402
87 83 543
85 0 880
46 83 854
43 55 775
90 26 81
62 37 393
33 64 174
24 93 794
18 34 361
38 52 255
95 77 628
92 6 934
40 90 16
89 55 680
56 41 311
95 68 482
0 72 759
21 11 9
53 9 191
99 36 406
71 28 950
66 39 651
6 41 725
14 51 352
87 59 129
61 29 141
77 21 338
79 78 287
91 26 876
46 78 195
87 70 559
14 39 671
91 45 216
4 0 271
33 59 773
27 99 750
89 99 862
35 55 838
43 92 45
68 64 526
84 13 819
61 55 70
91 33 850
53 91 339
32 3 876
49 76 878
5 47 301
68 44 278
24 77 275
93 57 693
85 49 257
54 88 978
12 8 546
16 94 55
49 91 56
62 2 503
6 92 727
23 83 870
35 18 557
72 3 70
22 64 713
36 27 421
30 6 707
71 73 28
96 53 961
11 7 450
64 24 221
30 32 385
5 9 75
98 12 284
4 2 239
28 44 594
57 59 95
91 85 602
86 7 668
47 0 589
52 72 706
0 64 486
82 59 705
19 27 165
20 79 986
61 2 337
33 57 25
64 77 399
10 93 962
0 75 97
81 49 802
76 13 636
63 3 202
58 96 808
48 17 448
45 79 150
33 62 507
17 37 718
99 17 80
50 22 704
69 51 456
39 40 953
69 47 215
44 94 761
87 31 792
45 90 138
26 51 243
24 45 472
45 16 467
34 65 452
36 59 937
82 91 254
64 14 275
78 57 689
11 91 641
44 90 208
20 5 124
69 17 173
11 87 311
44 50 308
2 99 14
81 54 303
63 10 674
59 17 205
3 15 538
4 48 172
45 68 586
51 79 505
23 84 155
78 79 613
17 41 709
47 48 667
2 79 559
38 57 171
46 8 906
76 50 845
58 27 877
13 70 282
50 70 994
71 54 599
66 98 857
56 27 452
40 22 346
17 65 717
35 50 837
22 49 823
8 88 749
38 89 278
40 17 633
50 79 824
9 83 66
94 57 233
58 53 614
99 98 745
83 97 137
77 70 868
29 29 823
51 93 641
31 62 540
85 32 695
60 1 577
81 2 947
99 15 771
57 61 621
72 67 997
57 31 962
43 39 47
51 15 725
39 48 450
79 92 514
11 54 947
53 23 616
2 66 823
80 59 593
47 96 183
56 67 483
1 72 673
86 93 463
52 40 583
30 34 447
17 94 330
94 88 844
65 8 307
63 33 54
88 64 626
2 7 577
20 70 567
30 21 320
93 3 90
89 50 753
25 31 549
64 32 703
17 72 950
63 19 336
20 66 193
8 29 543
6 94 209
33 68 108
86 55 686
40 59 73
25 81 191
25 84 339
7 60 471
20 86 738
81 31 335
17 64 797
82 94 567
93 69 175
2 90 624
57 73 267
20 23 908
15 51 291
74 38 437
83 30 247
25 38 881
47 80 772
72 72 475
42 53 261
56 51 91
83 50 226
35 39 9
21 92 810
58 9 382
83 41 561
1 12 704
33 85 940
53 71 120
61 51 840
88 12 437
56 22 322
46 42 238
0 33 218
44 42 37
77 23 877
60 59 149
17 26 613
53 49 232
37 25 374
74 54 451
61 75 73
83 6 16
99 97 201
12 6 478
86 41 123
52 96 51
55 0 442
14 38 773
93 8 274
89 31 607
15 36 271
93 47 518
32 46 985
16 40 357
15 42 973
69 48 407
91 17 957
24 25 601
42 90 767
98 30 144
8 57 729
86 67 400
12 60 476
2 87 415
66 85 839
64 19 642
65 24 255
91 62 550
27 7 626
56 92 298
3 54 405
10 19 618
83 2 505
55 71 971
17 87 10
28 97 493
3 81 758
13 64 213
40 4 533
3 0 726
30 30 800
91 88 959
57 13 157
32 75 407
72 9 269
15 4 391
59 12 866
79 5 591
80 44 700
35 41 351
13 88 600
83 57 72
8 83 392
25 14 690
7 67 905
15 0 67
27 57 737
22 66 527
31 22 219
80 19 921
92 35 967
45 19 189
99 50 58
13 96 221
61 10 992
34 88 631
21 39 518
24 85 601
53 17 748
7 71 833
24 5 319
10 96 621
33 82 175
98 6 563
76 63 319
1 98 231
99 1 182
64 83 165
0 15 273
84 90 734
29 13 948
49 87 764
48 50 769
64 49 929
18 72 751
44 41 539
75 58 107
89 54 335
83 21 62
21 2 165
86 15 751
71 98 263
92 17 726
29 73 201
65 38 500
50 75 708
47 45 101
41 52 398
64 45 93
87 30 201
28 80 382
70 4 464
17 59 993
25 19 402
31 33 413
35 21 404
89 36 631
24 24 445
43 12 405
84 24 984
76 68 441
60 97 702
95 11 752
54 46 135
18 4 680
92 54 418
93 75 694
40 7 587
71 81 504
8 14 966
17 89 857
5 42 354
50 11 684
0 39 488
68 70 567
39 67 806
1 75 525
38 32 357
74 99 57
63 92 695
6 66 646
67 67 837
86 82 451
20 33 67
54 50 212
21 4 380
63 35 813
97 57 256
54 12 348
84 94 722
25 70 49
14 13 721
14 62 12
26 16 724
89 88 973
43 94 15
3 94 286
44 56 996
22 79 915
60 11 114
75 61 217
63 65 70
98 56 511
87 26 848
83 23 626
30 87 491
32 84 121
23 7 580
99 32 619
69 64 587
58 12 202
60 69 505
48 11 939
6 10 574
12 98 251
3 13 777
27 10 558
82 61 164
90 21 860
12 16 457
68 89 733
95 9 949
40 19 731
78 38 191
35 16 88
84 23 331
32 71 669
7 76 518
55 33 82
64 57 798
93 55 544
72 93 808
23 71 758
95 22 287
73 73 538
14 87 261
89 75 33
91 10 153
91 27 220
81 41 811
3 90 503
47 33 340
98 41 234
92 33 302
96 56 738
9 65 924
61 34 511
11 72 65
52 86 7
68 28 193
16 31 628
49 97 62
36 45 595
63 26 695
78 66 801
57 91 81
45 18 934
40 14 953
0 60 943
10 18 243
38 45 414
52 93 945
93 24 213
64 82 997
43 72 871
21 53 626
7 28 337
38 8 163
8 23 600
37 0 265
49 78 504
38 69 355
21 59 985
56 98 929
75 12 969
92 58 349
32 91 124
8 67 846
51 80 534
58 14 349
32 24 1
51 74 812
96 26 772
43 99 918
4 62 590
25 60 280
63 98 885
14 25 257
45 78 974
51 60 14
80 81 324
52 11 118
52 14 864
4 83 4
71 0 592
45 52 418
54 6 923
35 79 927
79 29 892
48 64 681
24 20 409
49 28 140
16 96 46
69 25 548
45 14 641
87 32 265
52 54 341
63 5 398
78 30 24
30 41 517
66 3 288
14 49 684
70 19 674
82 16 356
70 47 909
2 80 203
26 88 918
77 86 935
48 93 575
1 86 222
59 33 863
81 10 379
8 7 155
70 83 255
73 80 865
80 71 760
14 66 19
6 40 445
99 16 516
77 67 861
86 79 76
35 30 198
93 87 10
6 42 234
62 42 725
66 65 831
96 46 902
13 84 557
74 9 408
74 56 529
64 26 840
65 97 560
59 96 550
62 71 534
15 84 20
58 65 834
24 56 166
67 54 508
61 95 786
10 39 413
57 44 197
90 7 352
68 78 115
9 60 136
73 66 204
3 45 398
17 92 161
31 93 213
70 88 869
64 80 95
75 98 408
65 51 701
40 79 880
59 92 124
79 85 804
82 12 522
23 49 85
46 21 50
16 97 434
18 80 380
68 58 346
0 11 542
93 67 354
63 2 584
77 71 295
47 18 3
80 94 565
51 2 782
91 82 863
84 48 57
76 40 19
46 27 145
73 7 585
38 23 967
10 84 8
25 98 812
43 28 55
28 61 707
8 37 504
6 4 42
57 71 23
17 78 561
7 24 520
29 86 550
64 91 648
84 8 658
54 72 502
75 91 428
36 52 479
76 31 927
6 46 291
30 7 375
11 93 913
53 93 798
40 56 128
69 20 412
70 5 771
60 58 835
1 10 926
81 94 567
94 63 136
