100 2475
42 35 270
23 35 933
76 45 630
36 53 48
89 98 366
92 76 394
85 26 143
48 52 86
67 85 171
30 51 582
29 51 484
74 5 250
68 38 208
30 88 775
75 13 330
97 31 120
71 65 218
26 45 29
14 32 552
76 84 253
9 2 485
18 27 76
72 23 487
28 29 447
24 47 47
52 38 267
55 7 684
35 22 893
9 51 437
19 10 277
31 32 108
88 50 336
75 10 276
8 3 544
4 64 927
0 8 297
89 65 530
0 5 172
98 66 503
2 70 684
27 25 205
93 21 206
51 22 402
26 30 637
85 74 516
20 24 445
12 20 566
86 80 850
96 38 781
71 42 100
59 0 108
54 57 896
68 87 598
6 55 928
3 97 160
57 71 514
45 56 111
99 4 756
5 74 759
79 14 815
1 54 606
5 49 642
79 26 161
0 26 242
2 40 853
54 33 445
79 44 9
58 97 616
81 86 593
46 77 636
86 13 42
48 2 541
27 58 68
50 35 249
72 14 484
75 1 304
18 95 269
17 63 755
18 34 174
60 95 840
7 42 422
91 40 312
38 10 198
34 71 885
10 18 254
27 15 511
38 17 70
32 62 203
22 58 695
83 39 635
12 88 777
46 34 628
34 66 866
34 54 132
49 37 342
74 82 350
39 91 552
7 26 522
24 49 532
30 9 941
24 22 708
64 43 3
65 98 670
64 34 481
23 6 408
92 25 263
42 34 408
39 48 282
53 49 348
64 91 66
45 11 650
95 18 954
64 44 614
14 24 305
19 47 180
59 49 772
63 34 717
24 85 215
60 20 259
87 17 380
79 89 824
93 19 826
83 38 738
70 78 598
44 56 126
42 30 201
44 53 428
85 97 410
26 93 70
11 94 169
48 20 560
56 9 903
85 56 91
38 99 376
88 61 21
35 40 872
70 52 88
43 13 73
65 40 191
96 46 532
12 91 929
22 24 88
54 26 979
8 36 602
59 83 348
70 30 456
87 86 823
3 79 804
71 13 389
22 87 323
57 69 790
93 57 147
31 60 737
84 16 753
47 32 514
38 53 379
15 93 133
12 42 356
40 45 913
57 93 487
67 46 623
75 44 514
14 96 797
68 4 600
13 33 20
5 20 980
10 61 286
89 23 857
18 31 956
93 79 166
59 64 98
81 57 943
36 51 323
66 59 424
68 47 471
21 94 39
7 38 761
48 41 412
81 68 0
93 23 855
53 95 499
96 3 768
54 84 446
98 75 761
27 39 587
81 62 574
19 58 153
30 71 92
6 21 461
45 74 986
50 87 855
82 52 725
61 63 570
11 56 188
2 16 587
58 18 750
68 59 378
13 60 389
55 70 448
59 12 966
41 12 309
27 0 374
2 27 960
50 80 865
41 97 907
53 17 255
87 20 160
67 72 992
22 21 972
43 99 22
93 78 294
14 92 27
43 79 578
71 56 536
42 45 341
54 64 181
39 86 813
36 24 419
99 81 575
18 98 17
58 86 286
56 4 141
89 66 332
28 22 508
2 71 792
90 30 791
84 63 450
6 22 538
54 34 411
93 82 69
87 29 213
19 29 429
44 57 123
68 57 658
54 56 552
55 30 506
55 53 120
23 86 191
12 60 637
19 64 574
46 49 854
77 38 172
36 93 392
8 6 353
47 79 520
87 34 266
21 39 610
89 19 753
35 61 232
68 8 688
43 81 108
94 79 130
20 91 617
42 49 916
9 5 914
71 81 371
44 9 616
52 55 195
81 25 10
16 93 308
19 33 896
26 67 68
71 89 76
83 20 631
27 36 893
66 95 89
61 22 756
99 16 76
82 27 539
31 25 655
10 12 749
19 43 905
12 92 191
74 57 184
73 45 160
76 80 489
90 12 53
99 15 719
87 32 877
7 78 827
47 57 715
30 60 515
92 69 25
9 25 334
54 74 294
50 82 831
31 66 496
95 76 556
36 72 51
7 51 241
0 1 835
16 67 868
90 10 512
43 93 88
74 8 93
41 40 195
17 61 28
73 31 635
25 6 395
17 82 941
41 64 267
81 42 192
89 43 138
89 8 185
52 4 982
55 67 186
24 24 565
74 61 90
36 1 738
75 30 774
13 31 558
80 36 68
31 9 511
73 67 542
5 51 396
42 15 695
64 58 220
9 22 759
46 98 693
88 84 685
89 63 89
57 86 40
69 60 134
27 31 185
40 0 700
21 66 419
69 87 808
55 12 827
36 12 687
74 69 305
1 16 165
26 12 863
61 55 545
95 55 1
58 42 699
24 31 157
57 6 980
76 98 504
61 36 519
19 16 974
96 34 199
4 45 895
70 88 93
28 55 220
42 59 852
13 88 376
31 12 542
58 68 203
72 75 668
31 36 155
82 88 683
82 47 391
45 54 705
6 75 904
5 30 985
23 43 621
85 21 35
87 41 237
95 64 557
28 49 773
34 16 943
84 89 74
30 10 170
39 62 600
50 76 909
74 75 866
63 22 120
55 79 342
81 33 80
56 47 204
73 23 342
45 13 579
60 50 963
22 82 434
3 90 946
39 6 803
25 0 489
0 84 362
68 12 120
78 68 83
72 7 509
75 67 667
71 44 897
13 22 617
34 76 787
23 34 186
75 88 878
5 24 534
21 73 926
54 90 836
96 13 397
71 43 595
24 23 851
53 16 958
35 53 922
24 21 537
24 7 262
37 95 459
87 62 577
60 94 877
70 24 931
