100 2475
1 96 531
63 10 52
31 16 876
87 15 877
65 33 108
33 29 329
65 63 244
37 82 308
19 95 837
85 36 964
74 64 115
91 4 284
15 85 296
82 98 243
38 3 478
68 1 7
17 88 534
21 16 764
27 2 240
77 38 550
25 75 159
1 32 131
71 97 435
0 41 262
6 32 884
43 44 159
65 15 567
87 25 90
52 30 696
1 30 146
55 29 714
12 69 200
14 37 139
70 86 367
98 47 496
22 8 839
11 26 664
44 4 704
31 55 404
25 38 808
72 77 985
13 35 439
26 47 807
90 87 717
10 86 1
15 89 197
40 83 280
1 81 560
49 6 787
95 58 433
69 82 444
7 61 165
44 32 649
12 27 99
14 42 551
95 20 425
18 11 686
56 4 537
68 27 396
49 49 492
21 67 239
7 70 489
55 47 945
49 23 300
58 24 574
34 99 128
97 25 46
37 97 916
17 58 969
33 31 194
10 64 575
96 92 909
13 53 83
20 15 322
51 24 871
49 64 331
15 28 625
36 61 572
80 47 286
89 44 883
11 67 47
10 26 993
55 22 518
68 43 234
67 22 571
49 71 169
94 14 723
82 66 393
83 41 922
7 67 512
81 85 769
76 52 223
52 54 433
4 20 74
29 13 785
65 20 191
12 56 366
98 21 888
11 37 662
2 70 884
27 25 351
4 10 455
85 45 196
33 20 825
44 9 922
94 15 78
5 74 794
74 3 942
78 38 551
84 72 576
94 29 618
2 45 247
87 9 27
18 72 938
4 97 494
52 2 575
34 73 558
79 45 135
18 92 941
53 78 380
25 34 879
73 2 802
79 8 149
76 78 524
69 88 653
81 90 860
89 88 59
62 5 456
97 49 104
27 50 318
61 77 40
31 5 63
44 87 817
88 76 576
60 82 581
37 45 238
75 29 55
70 66 218
16 45 90
40 3 677
7 78 148
95 61 922
3 95 803
41 61 550
7 82 967
22 64 887
72 93 964
92 15 778
48 88 994
3 54 221
86 40 374
24 42 763
11 4 445
82 68 785
6 42 98
65 79 873
96 5 956
89 23 79
68 85 765
1 43 606
13 84 983
96 90 978
38 46 132
11 7 852
5 62 824
85 40 683
59 58 217
5 57 986
31 48 170
1 42 678
81 10 598
98 57 442
5 41 463
75 98 825
14 41 241
95 5 686
42 75 242
74 25 573
83 90 240
94 0 747
6 95 710
52 75 153
47 45 831
3 25 846
23 87 342
45 47 956
43 62 431
28 3 366
84 29 918
17 82 932
81 94 240
99 45 618
4 33 25
2 92 781
2 83 146
34 72 892
38 29 812
28 64 875
27 54 464
53 84 606
80 38 554
55 49 514
63 41 110
42 99 987
37 9 761
57 84 469
23 25 276
6 2 944
75 95 293
44 42 318
2 73 195
39 81 700
36 12 219
91 55 165
72 60 222
87 63 629
47 52 120
55 35 628
73 47 220
95 94 645
10 63 258
80 16 586
32 35 765
62 9 860
62 35 86
17 90 989
85 21 82
35 56 207
31 76 436
81 59 517
91 72 626
61 80 793
1 6 792
82 25 599
67 77 978
35 70 305
95 29 521
44 12 78
10 96 356
48 90 4
67 78 623
45 74 97
28 24 955
51 49 395
58 97 552
15 81 224
49 18 941
62 8 272
24 19 931
51 55 768
52 13 329
67 76 892
50 49 681
0 85 249
82 18 259
56 36 628
86 70 623
0 97 757
88 2 965
24 91 829
4 27 32
39 41 947
4 66 343
94 69 173
20 4 67
81 39 460
96 3 578
17 93 540
35 38 440
33 39 541
8 55 337
11 14 314
94 25 641
80 17 238
94 34 673
23 43 674
87 61 654
89 6 803
23 92 715
9 68 862
98 87 760
26 20 464
68 48 646
57 62 836
36 32 642
22 53 329
70 24 513
3 58 682
22 74 924
23 40 586
14 55 841
16 70 102
68 90 457
63 45 4
33 68 968
74 57 832
7 44 164
2 56 745
26 93 542
36 67 539
37 65 662
95 72 322
40 30 19
81 29 409
71 64 282
27 53 958
6 68 294
25 56 615
33 24 452
41 48 340
57 53 679
97 45 720
61 42 422
51 61 157
50 29 83
11 52 517
67 53 742
64 73 275
96 80 33
49 33 173
28 91 108
11 2 638
35 14 784
67 73 681
33 35 943
16 47 729
2 41 187
18 17 251
75 77 698
6 71 687
1 53 62
44 55 768
80 34 546
56 51 547
42 73 539
65 74 826
32 69 315
18 58 288
74 27 16
35 85 450
2 3 323
62 18 550
31 72 147
84 90 22
16 62 799
15 50 405
