100 2475
76 50 223
89 6 137
68 17 993
2 28 50
62 28 107
70 83 158
57 57 816
39 77 173
14 16 720
81 82 463
24 52 861
29 18 611
96 35 715
68 57 313
42 59 378
66 1 429
56 98 118
74 81 184
10 9 836
60 29 754
18 48 621
49 67 510
53 11 556
96 96 702
11 77 330
80 77 837
48 2 500
54 49 853
5 7 331
29 9 773
93 95 912
3 19 556
68 30 153
37 60 199
60 42 952
40 88 953
32 30 563
74 58 514
81 63 754
10 81 684
30 56 220
60 45 773
34 32 612
70 10 5
70 95 643
92 33 246
67 56 393
71 85 302
1 18 65
62 67 122
95 38 291
85 85 644
59 53 911
61 21 398
5 51 323
63 68 490
88 75 496
12 65 237
3 99 653
91 80 854
40 9 317
90 60 682
59 78 270
73 27 160
48 66 159
58 48 295
16 75 841
50 70 24
6 51 930
60 65 871
71 37 960
7 56 895
71 6 31
79 72 529
73 71 464
54 65 480
36 81 42
84 54 517
55 11 591
39 25 879
62 89 477
55 83 867
24 41 250
98 4 130
34 53 643
76 89 762
91 58 401
39 16 319
43 46 98
19 18 766
33 45 758
18 90 957
22 12 322
60 86 245
76 4 30
53 99 943
95 52 51
25 25 811
1 97 158
92 0 622
42 20 94
37 95 36
14 74 665
24 9 543
26 28 857
42 41 666
59 19 128
63 69 76
64 98 488
53 87 271
91 60 515
54 92 590
86 89 73
21 36 404
54 95 63
99 80 963
17 88 273
89 34 738
49 66 536
92 65 116
44 7 61
59 97 417
29 62 232
80 46 818
94 4 340
18 8 15
96 55 328
53 13 449
91 47 154
37 56 635
65 6 110
78 45 429
38 69 847
57 72 706
66 52 663
99 51 443
39 47 81
56 59 928
28 17 494
70 64 299
70 51 926
51 19 235
93 88 197
76 9 21
15 16 254
97 59 988
64 53 491
48 4 824
32 42 856
45 70 583
53 0 959
26 48 354
83 84 764
18 39 381
35 54 899
11 50 789
77 94 496
93 53 431
72 54 92
83 62 462
6 74 479
95 78 389
79 8 777
44 43 659
75 63 510
91 53 695
87 54 929
6 18 957
53 89 536
57 61 796
