100 2475
30 84 235
80 47 686
84 11 118
67 74 881
21 8 3
10 46 862
91 32 426
72 93 420
10 83 451
61 98 630
83 94 724
60 17 674
95 27 493
68 95 297
12 20 872
82 59 646
27 81 81
11 50 797
86 51 953
55 45 976
98 81 220
8 49 58
69 2 646
62 84 485
81 51 669
2 28 813
63 49 854
99 48 622
59 37 104
25 26 877
49 24 495
20 3 188
88 92 94
5 55 341
25 15 210
52 54 260
52 3 124
22 37 170
62 45 602
24 93 638
75 88 474
47 15 959
66 63 663
68 19 828
35 83 47
83 69 702
64 95 6
22 85 297
2 81 474
48 71 986
53 7 419
61 4 447
38 84 468
77 30 338
17 77 497
63 80 102
57 76 92
58 62 16
60 69 263
67 40 553
33 90 802
2 45 507
95 96 839
34 20 146
63 84 767
25 23 545
92 90 531
16 60 585
83 92 140
2 5 465
77 42 865
52 46 696
96 60 754
23 55 86
60 65 473
11 61 474
97 22 810
44 93 256
78 76 811
84 22 596
19 0 190
77 28 991
46 9 253
89 87 524
8 89 654
23 6 313
96 98 981
96 87 18
97 33 495
20 43 367
98 65 444
96 61 396
87 56 177
65 11 394
38 10 827
5 42 445
84 2 495
69 74 170
17 20 674
6 93 639
40 7 852
96 23 906
87 75 182
55 94 688
60 68 315
45 53 165
12 53 922
55 2 339
86 7 927
19 83 414
25 55 832
79 83 65
18 5 996
77 16 975
10 81 521
50 32 71
82 27 693
29 27 318
27 49 500
79 86 832
52 43 743
44 54 384
13 70 179
29 36 110
83 55 941
43 56 17
35 13 748
81 76 493
6 28 733
96 30 361
53 12 637
58 48 672
99 31 123
25 86 773
12 26 152
69 48 255
21 49 396
37 77 388
11 17 346
23 13 617
17 8 677
93 52 680
81 22 798
95 43 766
70 59 804
25 16 295
72 64 926
10 41 183
70 55 167
64 94 578
65 55 244
5 17 458
7 44 147
85 7 93
55 52 198
2 25 48
59 78 871
75 62 208
13 55 608
55 21 9
83 2 154
35 46 997
39 46 830
68 41 554
50 66 954
36 4 2
77 3 561
10 13 349
57 67 918
18 18 377
43 39 561
91 1 658
53 85 101
34 96 446
91 11 531
59 72 76
9 2 512
29 66 353
48 46 581
93 46 582
1 86 188
76 82 899
66 3 663
43 26 654
3 1 540
64 84 558
70 10 867
70 47 330
64 3 111
54 7 455
36 87 745
21 98 794
25 43 646
41 76 695
99 49 67
20 16 159
23 15 872
51 9 578
9 64 752
97 38 234
41 67 552
44 22 566
75 84 255
66 29 743
29 92 142
89 79 761
38 16 345
73 78 914
25 39 997
64 69 980
74 32 468
45 10 218
11 7 237
96 77 284
94 63 996
31 89 957
77 57 130
36 7 505
18 36 428
51 66 932
94 15 100
20 75 63
37 75 213
21 41 888
74 19 776
75 79 805
82 60 38
91 23 981
28 89 774
42 52 140
4 12 629
60 90 717
9 48 883
68 58 819
27 68 756
42 88 615
98 25 809
55 95 720
38 74 343
12 11 514
75 96 54
3 37 816
39 39 748
3 35 668
83 19 626
73 91 242
82 12 507
87 70 679
64 93 180
18 51 240
13 88 64
52 97 294
20 44 647
60 56 455
87 39 398
65 78 715
31 91 96
56 23 953
51 81 838
79 1 980
19 9 387
98 6 217
94 55 48
98 21 920
57 14 15
42 99 38
8 62 32
2 69 644
88 85 174
48 90 843
48 1 116
92 53 418
75 69 224
53 20 702
18 66 221
63 42 507
79 13 730
70 80 15
97 93 716
29 61 980
91 22 331
97 51 498
21 53 295
69 79 783
27 67 391
79 87 480
90 58 635
7 54 171
27 46 375
78 42 731
90 32 739
77 94 510
28 7 504
23 4 384
52 80 193
56 34 505
76 0 195
49 95 97
45 34 460
58 42 660
39 1 676
27 5 235
27 41 818
6 89 483
69 57 502
51 57 213
71 35 328
45 17 401
33 35 294
64 47 354
76 3 167
23 80 796
45 68 742
22 96 520
33 14 584
90 70 928
44 39 37
64 24 33
59 29 356
73 42 304
89 35 597
22 59 465
72 75 117
97 49 153
69 68 53
4 9 409
81 78 736
80 16 217
55 23 423
6 17 604
51 86 590
74 14 192
67 77 52
4 92 655
99 64 624
80 96 805
96 6 326
0 42 965
47 20 683
58 4 780
66 51 894
50 65 971
94 13 196
71 43 910
11 10 254
77 14 49
86 71 37
60 81 721
45 22 889
52 75 898
4 77 248
33 70 865
0 72 657
14 68 757
19 62 756
12 92 119
28 77 489
9 20 876
26 20 909
31 27 808
38 59 916
96 97 669
60 45 79
7 19 160
3 14 941
40 23 679
64 16 198
87 24 632
90 92 120
73 26 7
81 13 7
68 37 470
38 91 632
73 66 626
95 73 163
83 93 347
33 44 155
9 22 333
75 74 165
13 92 778
46 34 850
58 76 515
76 60 721
94 28 223
78 56 972
2 6 407
46 73 384
84 89 846
7 71 869
24 85 26
66 13 200
37 36 645
5 24 338
0 26 910
58 34 528
39 20 180
88 20 744
11 18 540
23 52 532
39 73 451
13 95 757
2 36 658
93 80 965
33 31 453
20 37 287
57 61 736
27 12 149
46 24 747
87 51 252
98 41 821
80 61 352
42 49 715
13 21 889
51 5 909
92 93 510
4 7 522
97 50 405
73 51 485
14 57 65
99 19 399
84 78 384
14 49 682
13 89 585
39 35 338
56 56 800
97 42 910
21 63 872
39 92 796
74 59 228
8 46 820
79 2 570
57 38 832
22 17 325
54 65 510
24 7 324
35 81 177
66 53 929
77 46 69
7 87 96
16 86 990
73 18 497
26 22 231
65 86 159
31 37 771
53 57 573
15 89 455
42 65 143
87 93 754
93 54 269
76 80 801
41 93 39
67 63 73
16 71 755
62 28 557
23 36 137
79 8 109
27 95 399
68 52 758
39 75 990
72 18 479
