100 2475
10 34 218
81 84 77
92 30 506
88 55 574
33 49 952
12 17 212
96 72 27
42 69 288
48 85 141
22 61 659
32 81 480
45 55 116
3 4 677
32 92 53
17 61 920
34 43 798
0 42 121
30 12 140
2 74 60
66 30 606
58 21 603
96 4 691
83 17 129
90 78 21
1 71 431
11 63 224
38 23 898
99 16 300
38 94 372
64 44 297
0 35 830
19 50 443
41 58 522
24 14 559
35 45 454
6 16 527
89 28 294
32 96 136
90 14 841
81 66 384
51 33 340
2 97 192
96 39 730
55 21 409
75 90 643
88 79 122
41 79 113
81 0 425
43 71 671
44 48 3
71 48 513
17 92 913
60 66 586
32 45 631
57 9 779
30 4 237
41 56 420
0 99 352
29 12 0
75 3 160
89 46 813
93 71 483
70 61 291
88 19 595
94 12 527
47 18 5
55 68 64
92 28 206
96 53 353
70 29 14
34 49 47
52 24 626
31 78 520
5 46 444
48 37 701
71 26 846
95 77 865
76 55 947
43 30 573
31 30 392
51 94 468
99 10 746
77 93 562
12 21 205
29 32 946
74 9 889
13 2 407
51 75 492
85 73 419
3 37 18
68 57 586
37 87 583
49 72 776
6 41 933
88 2 718
24 40 459
8 43 544
32 15 536
53 35 888
2 11 466
49 45 456
58 16 574
85 27 836
48 83 311
85 11 611
67 66 534
16 31 497
77 1 25
72 95 845
16 32 199
52 1 137
64 57 219
81 35 642
11 32 914
68 25 748
58 33 91
40 38 180
51 44 273
45 62 391
48 16 952
68 37 948
78 7 150
82 58 297
68 52 841
53 12 551
35 12 246
76 50 983
63 88 884
87 91 748
97 48 815
93 11 463
55 88 668
68 22 109
21 65 399
43 99 305
69 81 782
83 69 492
96 86 127
59 98 365
24 1 356
33 4 424
16 37 175
75 23 479
75 6 243
55 72 576
4 26 596
90 7 66
28 97 682
53 56 30
13 73 214
91 72 243
34 61 675
27 8 319
51 60 918
29 13 524
53 31 407
85 83 601
32 53 720
92 15 788
24 41 765
75 7 733
36 85 124
66 17 469
75 18 370
57 49 455
5 18 75
15 83 78
70 9 271
64 69 371
76 59 967
31 84 73
29 91 446
90 84 923
8 22 636
63 92 103
40 81 455
72 41 446
74 96 189
82 72 954
89 38 58
85 8 577
5 25 378
0 9 771
36 19 605
36 51 100
96 46 568
23 54 876
76 49 560
22 9 30
77 35 577
77 39 208
12 41 654
85 23 490
16 65 981
62 20 873
47 39 174
41 12 278
83 0 576
95 1 146
19 66 898
73 28 713
64 58 806
78 13 302
39 2 408
80 6 996
16 46 36
79 31 880
56 61 199
57 71 683
94 41 872
43 9 604
46 81 36
3 20 310
96 62 587
68 49 614
31 77 500
74 86 883
20 11 197
77 15 177
48 1 244
55 40 582
38 43 433
51 22 145
10 43 223
0 33 659
13 19 523
91 47 788
59 21 415
99 39 538
84 1 807
13 97 566
70 62 136
52 21 4
90 27 244
77 48 484
39 87 89
22 87 709
88 84 991
96 82 211
63 71 475
48 39 745
74 28 668
70 74 354
35 77 935
59 75 891
72 28 594
67 67 244
79 63 546
86 7 52
43 2 374
31 65 162
54 75 443
32 30 409
8 90 674
9 66 800
19 65 729
37 66 744
74 47 126
66 0 846
26 61 630
92 22 67
94 13 136
50 95 761
84 88 808
87 63 989
91 14 656
31 50 730
4 37 73
20 79 300
29 97 511
67 94 400
20 91 332
48 38 879
67 8 144
87 33 57
87 50 811
30 98 322
19 16 79
16 94 502
19 87 974
58 4 247
89 31 280
20 28 87
37 16 646
53 62 71
37 60 771
29 2 740
87 56 83
87 7 737
57 53 14
55 39 589
33 92 394
7 71 105
23 6 323
62 39 452
16 99 858
62 88 204
16 92 267
6 21 905
51 69 216
3 70 883
1 90 370
89 79 278
68 34 242
30 82 822
34 15 413
78 99 251
71 86 992
75 48 82
8 19 649
8 94 292
8 51 209
41 81 901
89 36 414
74 8 889
10 26 772
3 57 232
66 37 427
25 11 366
13 7 781
6 11 886
93 13 955
93 35 316
28 71 19
12 99 300
38 36 823
49 39 494
92 34 655
64 54 210
83 56 309
96 63 17
56 15 343
50 0 744
22 81 434
5 49 45
62 78 27
4 89 100
73 52 363
22 57 688
50 70 7
6 59 754
66 65 378
88 94 117
53 3 722
95 93 932
22 93 510
83 68 720
84 57 550
57 58 268
60 18 507
66 55 909
77 73 976
90 74 767
50 1 260
6 47 1
94 95 18
31 49 941
30 27 22
26 10 504
28 72 78
85 93 589
18 60 326
23 51 361
62 44 781
93 77 277
70 17 797
33 87 966
7 69 633
17 13 34
62 40 266
61 12 872
57 10 887
60 68 796
83 57 192
38 46 546
75 99 177
77 53 822
29 4 690
32 6 947
68 73 675
71 33 892
5 85 803
92 85 202
76 8 635
4 14 677
8 62 322
16 20 837
75 71 942
9 68 954
17 96 230
83 71 770
21 2 735
21 88 183
87 87 942
69 86 377
46 95 827
85 1 49
79 9 251
39 58 673
90 90 587
18 1 200
79 65 866
65 74 681
87 31 937
20 85 375
2 39 788
54 92 746
9 53 286
18 94 305
99 68 312
37 73 387
5 0 811
26 11 526
51 0 571
91 87 140
22 49 382
83 46 702
20 7 309
8 42 231
20 53 311
73 40 676
70 72 688
90 76 107
15 38 283
69 58 390
68 12 324
78 10 258
15 81 47
97 6 804
71 54 446
33 57 93
48 68 73
61 33 199
50 75 754
31 12 286
69 70 892
94 79 995
23 21 486
82 24 718
44 46 650
50 7 143
96 99 817
6 75 839
68 2 894
21 56 932
65 7 690
62 5 452
74 44 194
64 66 955
8 28 469
90 87 576
41 16 149
7 38 84
85 80 563
60 71 700
69 71 497
64 23 332
8 18 418
92 93 644
78 20 748
89 52 390
64 6 29
68 43 291
65 35 396
1 69 885
2 78 835
19 93 765
30 9 64
42 44 872
6 62 533
4 64 293
47 61 524
10 0 886
52 63 724
42 2 16
33 82 829
72 7 580
74 61 274
47 56 2
9 15 934
21 11 573
9 81 594
6 87 943
45 49 449
48 61 560
18 6 953
52 57 28
60 72 41
42 92 456
62 2 782
9 20 390
38 60 431
5 26 295
97 19 807
11 22 858
76 85 443
30 80 675
39 4 790
12 39 951
99 59 661
9 46 558
35 8 875
53 21 672
67 40 981
69 14 576
48 4 563
43 94 918
3 88 559
88 17 512
64 37 825
36 17 413
87 25 818
64 9 482
95 71 251
19 20 853
45 23 242
51 52 898
45 87 416
72 63 940
79 5 468
11 67 697
28 17 449
95 4 569
4 10 178
10 86 719
65 57 749
72 0 523
98 67 991
77 98 10
4 68 608
64 10 123
0 93 468
26 54 781
46 87 382
5 97 583
40 49 211
3 31 44
30 69 940
3 59 456
83 31 460
24 36 246
10 82 544
94 58 214
79 61 647
9 6 100
15 56 626
63 36 577
80 39 760
24 17 529
2 13 905
98 82 883
67 62 377
48 13 17
9 60 602
36 60 932
44 51 732
23 35 430
22 13 287
41 82 310
62 96 934
41 31 280
19 67 596
49 68 474
92 69 468
82 2 445
7 97 623
48 7 889
45 58 833
56 56 914
23 72 776
75 52 991
44 21 949
24 48 408
76 65 791
0 1 996
77 2 411
70 11 865
23 38 909
92 37 68
59 45 740
64 5 988
81 31 533
60 21 602
15 51 560
32 23 167
17 83 131
21 69 984
29 57 877
81 11 676
47 8 244
83 16 610
49 59 523
90 69 511
39 13 369
4 11 483
96 55 382
11 76 558
70 6 326
14 33 751
47 82 508
45 66 66
60 42 767
42 48 866
55 61 641
89 43 29
86 90 157
76 58 648
54 58 385
69 46 547
49 10 605
59 79 30
90 35 421
18 56 293
66 56 409
92 53 208
60 61 393
16 21 923
36 52 306
93 33 909
59 69 365
74 58 42
40 29 142
78 56 647
22 91 659
97 84 142
32 24 86
65 77 543
71 63 432
8 95 537
47 87 379
46 66 464
25 60 558
21 57 636
11 65 457
50 92 641
83 28 424
34 55 780
20 60 860
88 4 193
30 72 30
61 51 865
63 86 529
12 91 310
8 93 244
54 90 563
98 34 504
46 82 878
90 66 605
83 99 549
26 52 408
98 22 874
4 27 685
48 9 286
61 32 195
14 39 942
94 74 295
0 17 245
71 37 452
56 79 29
70 52 116
50 40 972
75 15 901
65 37 853
76 63 654
5 10 552
58 25 398
37 40 326
29 63 923
63 82 743
50 9 810
85 81 720
8 73 396
7 80 867
7 61 43
58 89 277
86 80 455
28 88 790
39 93 16
84 6 388
8 91 811
57 79 637
20 96 797
2 5 727
29 88 597
67 86 41
58 34 780
95 81 151
61 60 808
14 42 307
70 39 251
36 50 766
80 82 362
3 63 328
12 86 638
7 72 645
75 22 356
20 38 534
20 72 989
69 59 911
93 29 496
1 49 405
36 54 384
87 19 685
41 94 650
2 55 88
68 97 585
3 50 978
27 9 504
81 64 678
78 62 307
76 31 345
99 58 980
30 24 267
24 55 377
70 16 69
33 73 827
45 82 652
40 54 969
64 15 993
62 9 926
16 62 146
50 76 43
87 68 26
54 54 136
82 74 710
43 23 796
48 82 329
51 85 40
62 4 790
89 64 639
8 68 300
6 32 10
90 60 126
98 3 814
98 58 71
28 78 312
78 50 858
2 86 140
41 34 678
99 7 574
41 36 35
96 89 895
8 63 422
30 99 735
67 72 543
19 96 364
30 35 948
82 86 841
20 26 261
37 20 226
14 97 789
94 97 495
60 82 137
39 10 235
55 47 64
12 48 144
27 98 397
9 59 280
12 4 528
80 40 43
27 31 88
0 19 836
78 27 150
33 94 62
61 22 442
44 81 332
98 66 998
90 6 791
72 62 528
40 86 468
1 91 624
40 80 122
54 40 309
28 73 765
6 63 426
54 16 516
31 8 362
61 91 749
34 68 323
4 43 142
52 84 30
2 45 247
13 85 155
96 18 485
65 80 840
74 81 477
81 75 584
69 99 57
27 59 308
41 38 850
98 60 699
17 19 213
84 93 917
31 1 148
97 43 565
1 16 990
63 73 761
43 66 561
10 97 883
91 42 614
54 27 706
92 51 409
3 35 745
12 75 339
54 22 124
33 64 828
79 35 462
66 61 651
91 5 106
11 79 142
97 62 443
28 6 667
11 41 150
16 29 351
41 11 842
92 32 447
88 71 679
97 53 799
64 18 44
41 95 52
61 36 5
26 47 33
56 3 362
3 23 588
0 85 323
29 80 151
44 22 632
75 49 865
34 19 436
49 27 590
72 2 278
78 68 662
34 88 560
69 57 115
62 30 185
83 75 617
96 61 512
97 61 622
10 5 233
51 30 357
85 34 488
39 35 389
65 41 468
18 44 623
99 8 292
81 17 859
26 21 666
88 53 358
56 70 31
94 43 706
38 12 273
46 65 40
89 6 454
14 77 983
72 36 636
29 37 26
51 3 915
50 99 268
94 37 351
46 71 32
61 85 385
48 29 131
98 11 262
83 52 701
24 71 979
91 31 281
56 78 71
18 15 389
52 29 377
95 41 449
97 23 276
37 53 201
55 16 941
55 8 418
8 86 773
97 5 722
96 24 234
22 40 947
67 57 508
74 11 241
65 89 830
19 43 86
89 24 162
29 85 205
31 76 265
72 87 546
83 40 474
64 3 806
46 79 486
58 9 164
48 26 476
43 11 801
20 37 777
6 39 128
44 40 52
52 40 85
71 58 409
22 36 148
91 28 979
81 16 822
51 55 32
90 37 470
46 52 959
71 21 335
81 59 687
10 31 471
59 80 718
93 53 876
36 8 695
92 65 23
82 22 384
50 6 312
47 24 37
74 31 298
43 1 973
5 94 467
24 46 685
95 72 267
36 38 195
95 40 257
32 75 922
93 16 655
38 51 205
57 11 222
76 69 580
25 89 685
52 18 928
78 57 54
27 84 91
31 52 36
32 0 167
99 65 52
36 91 659
40 37 77
78 9 481
45 7 568
41 83 744
95 11 99
14 50 344
0 23 38
45 81 499
98 0 887
29 31 605
73 32 603
75 74 868
30 96 88
74 17 490
52 16 179
55 55 138
69 6 82
57 54 880
27 7 897
57 52 369
64 13 261
56 32 186
45 91 615
8 87 11
87 36 834
1 84 233
8 92 966
44 42 218
56 72 809
43 14 640
36 99 487
75 88 155
24 77 286
89 83 410
73 56 827
21 74 383
8 48 629
60 99 443
4 92 359
62 97 878
71 43 570
81 63 84
43 87 35
84 59 332
66 62 206
94 77 946
46 25 500
69 48 688
1 15 391
80 83 281
75 92 64
74 26 226
57 0 886
21 1 820
99 51 499
52 7 84
38 70 766
18 91 447
99 64 303
83 39 844
18 13 875
44 73 625
86 89 272
89 69 753
14 16 345
23 28 612
12 63 392
9 83 131
56 17 702
51 65 950
97 12 31
16 68 472
69 51 962
17 45 564
11 55 111
86 19 691
36 92 717
9 65 253
32 39 327
93 96 271
91 58 753
23 96 677
76 33 214
6 42 684
65 20 674
50 74 418
