100 2475
65 40 154
10 64 780
71 65 746
30 80 695
89 31 286
94 75 676
90 97 595
19 20 74
3 76 103
50 49 180
33 36 430
93 40 852
8 51 236
6 1 377
20 52 319
83 39 845
44 80 579
16 3 125
72 95 364
31 75 753
25 21 309
45 38 522
12 7 242
71 87 528
1 30 198
26 67 700
14 19 765
81 23 947
12 57 172
68 47 725
41 55 508
0 17 801
42 84 360
18 64 6
33 77 875
44 81 826
95 86 507
29 41 259
59 27 602
18 41 403
25 55 875
24 63 616
10 84 806
5 43 563
81 54 837
36 63 907
22 92 847
29 35 301
50 0 476
19 32 338
24 72 617
76 5 206
93 64 10
22 55 805
62 75 382
50 94 337
80 58 646
95 27 462
27 5 419
45 44 649
89 59 847
45 82 632
65 19 162
14 30 214
18 88 927
61 51 118
10 44 736
74 45 3
28 12 723
68 27 197
4 30 126
84 17 711
64 0 97
77 7 244
57 52 173
14 83 370
36 22 570
11 44 658
78 3 853
98 57 786
2 99 906
19 8 672
71 63 438
58 73 710
41 14 422
15 14 536
31 50 923
28 68 522
88 35 517
96 26 221
25 62 132
35 74 891
60 19 601
32 87 125
23 65 994
76 69 653
69 97 359
38 85 436
41 77 863
41 25 595
52 76 156
73 72 466
1 31 431
19 73 166
51 85 530
83 60 479
5 72 25
51 47 18
45 12 780
20 85 878
96 82 194
3 83 324
16 49 846
82 51 63
61 59 707
36 96 272
36 34 967
75 1 425
25 53 505
43 47 386
84 9 891
12 71 87
28 69 965
71 93 746
76 76 827
24 7 106
39 75 389
46 28 125
17 62 104
9 98 975
16 99 555
76 46 321
4 38 360
45 93 50
53 91 531
0 10 209
70 40 879
65 72 667
97 93 690
89 60 369
46 75 369
65 43 358
84 82 477
87 2 676
29 79 910
59 52 73
54 77 207
87 50 324
14 10 559
89 96 729
78 33 983
67 3 201
81 35 560
17 39 638
68 39 281
86 98 333
33 16 638
24 19 256
68 21 643
15 56 607
44 19 714
22 25 913
97 6 10
1 40 21
55 7 910
28 20 244
58 29 357
30 49 711
62 68 718
42 33 542
22 15 330
55 58 106
17 87 730
51 14 204
77 96 223
59 3 569
96 32 660
30 89 260
85 9 19
2 43 883
52 85 901
55 46 552
20 87 430
73 81 280
10 18 652
38 65 608
88 61 270
32 9 196
92 11 240
78 81 335
92 98 35
11 59 881
13 18 453
85 42 656
93 75 492
45 0 424
49 69 869
39 3 658
10 62 355
13 74 120
50 79 801
56 35 73
80 98 702
23 16 98
74 0 816
95 25 294
37 18 703
62 12 540
93 73 990
95 46 809
4 1 822
90 23 83
56 93 720
76 3 238
73 71 829
64 15 134
87 30 7
31 17 894
14 76 492
72 42 232
52 5 563
69 13 879
53 45 526
60 70 165
12 49 689
62 21 237
60 26 562
58 28 73
63 85 95
0 65 210
30 18 886
91 45 317
46 76 751
74 16 156
83 32 632
49 79 499
31 58 66
83 66 589
54 48 102
37 69 787
81 44 510
15 52 904
37 58 361
39 96 951
45 46 234
64 99 514
90 96 221
77 94 779
52 84 569
72 79 87
8 26 572
55 59 688
81 91 557
57 47 503
24 26 595
47 32 715
78 8 430
5 9 616
29 23 452
72 69 937
80 67 235
13 34 829
65 22 61
94 42 917
47 59 831
16 50 310
50 45 312
6 66 420
10 74 711
81 87 593
13 24 356
55 81 320
74 30 163
72 66 585
89 52 284
88 55 860
96 35 218
71 36 582
50 70 22
48 65 200
62 89 458
65 18 477
19 52 734
76 59 933
84 74 504
74 56 368
37 0 99
35 93 985
70 79 861
63 25 985
78 0 385
30 14 334
84 6 425
80 43 827
29 98 905
26 81 576
4 98 19
66 27 57
19 89 230
82 25 22
67 73 777
55 74 890
30 36 616
57 12 347
79 18 605
7 25 124
8 2 230
57 56 540
67 87 240
21 30 24
63 76 631
44 36 188
60 84 899
66 35 510
67 8 497
16 82 221
68 13 635
60 40 947
20 30 949
5 44 705
1 8 804
2 98 927
61 82 490
97 28 402
95 47 593
15 38 755
60 86 961
88 48 151
53 74 90
92 55 539
0 92 473
12 48 352
92 39 7
51 48 71
12 22 715
